Status,40080111
Voltage,-0.05 (-0.30)
Supply,24.2V / 0.2A/41.4C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,1,0,-1.15,0,0,0.009,-0.11
1,2,0,0.65,0,-3,-0.008,0.063
2,-2,0,-0.28,0,1,-0.008,0.011
3,-2,0,0.28,0,2,-0.012,-0.08
4,2,0,-0.32,0,-2,0.024,-0.035
5,1,0,6.43,0,-2,-0.007,0.056
6,-2,0,-0.47,0,2,-0.04,-0.028
7,1,0,-0.86,0,0,0.059,-0.091
8,2,0,0.24,0,-3,0.027,0.032
9,-2,0,0.17,0,2,0.006,0.069
10,-1,0,-0.67,0,2,0.023,-0.063
11,3,0,-0.17,0,-2,-0.034,0.013
12,-1,0,0.21,0,0,-0.012,0.104
13,-2,0,-0.32,0,2,-0.013,-0.136
14,2,0,-0.81,0,-1,0.004,-0.026
15,2,0,-1.12,0,-2,-0.009,0.072
16,-2,0,0.3,0,1,0.02,0.009
17,-1,0,0.03,0,1,0.022,-0.112
18,2,0,0.45,0,-2,-0.01,0.002
19,0,0,0.34,0,0,0.005,0.124
20,-2,0,-0.17,0,2,-0.005,-0.05
21,1,0,-0.9,0,0,0.007,-0.029
22,1,0,0.85,0,-2,0.014,0.036
23,-1,0,-0.48,0,1,-0.041,-0.023
24,-1,0,0.31,0,1,-0.002,-0.088
25,2,0,-0.38,0,-2,0.014,0.003
26,-1,0,1.19,0,0,0.013,0.058
27,-2,0,-0.11,0,2,-0.055,-0.05
28,1,0,-0.07,0,-1,-0.005,-0.07
29,1,0,-0.57,0,-1,-0.009,0.111
30,-2,0,0.24,0,1,-0.018,-0.059
31,0,0,-0.55,0,1,-0.006,-0.031
32,2,0,0.99,0,-2,0.042,0.009
33,-1,0,0.54,0,1,-0.004,0.083
34,-1,0,0.19,0,2,-0.014,-0.06
35,2,0,-0.28,0,-1,-0.02,0.017
36,0,0,0.94,0,-1,-0.022,0.06
37,-2,0,-0.27,0,2,-0.015,-0.025
38,1,0,-0.86,0,0,-0.003,-0.028
39,1,0,-8.09,0,-2,-0.026,0.05
40,-1,0,0.34,0,1,0.002,0.007
41,-1,0,-0.81,0,1,0.025,-0.108
42,2,0,-0.84,0,-1,0.01,0.045
43,0,0,0.55,0,0,0.002,0.056
44,-2,0,-0.6,0,2,-0.028,-0.077
45,1,0,-0.71,0,-1,-0.015,-0.064
46,1,0,0.83,0,-2,0.016,0.082
47,-2,0,0.25,0,1,0.004,-0.03
48,0,0,-1.16,0,1,-0.021,-0.045
49,2,0,0.43,0,-2,-0.017,0.04
50,-1,0,-0.16,0,0,0.006,0.067
51,-1,0,-1.54,0,2,-0.001,-0.041
52,2,0,-0.56,0,-1,-0.034,-0.009
53,0,0,0.87,0,-1,0.013,0.043
54,-2,0,-0.17,0,2,-0.016,0.011
55,1,0,-0.61,0,0,0.002,-0.072
56,1,0,-0.11,0,-2,0.026,0.021
57,-1,0,-0.05,0,1,0.015,-0.032
58,-1,0,-0.34,0,1,-0.022,-0.073
59,2,0,0.38,0,-2,0.036,-0.019
60,-1,0,0.48,0,0,0.005,0.032
61,-2,0,-0.02,0,2,-0.001,-0.055
62,1,0,-0.18,0,-1,0.012,-0.047
63,1,0,0.02,0,-1,0.005,0.073
64,-2,0,-5.12,0,1,0.005,-0.046
65,0,0,-0.48,0,1,-0.005,-0.052
66,2,0,-0.29,0,-2,0,0.023
67,-1,0,0.25,0,1,0.008,0.058
68,-1,0,-0.66,0,2,0.024,-0.088
69,1,0,-0.58,0,-1,-0.001,0.005
70,0,0,0.93,0,-1,0.014,0.038
71,-2,0,0.03,0,2,0.001,-0.066
72,1,0,-0.89,0,0,-0.013,-0.047
73,1,0,0.69,0,-2,-0.029,0.053
74,-1,0,-0.49,0,1,-0.007,-0.008
75,-1,0,0.4,0,1,-0.004,-0.077
76,2,0,-0.47,0,-2,-0.02,-0.037
77,-1,0,0.95,0,0,-0.004,0.034
78,-2,0,0.1,0,2,-0.013,-0.042
79,1,0,-0.22,0,-1,0.017,-0.042
80,1,0,0.15,0,-1,0.03,0.093
81,-1,0,4.67,0,1,-0.007,-0.029
82,0,0,-0.19,0,1,0.017,-0.052
83,2,0,-0.59,0,-2,0.014,-0.014
84,-1,0,1.18,0,0,0.02,0.039
85,-1,0,-0.2,0,2,0.044,-0.114
86,1,0,-0.16,0,-1,0.035,0.014
87,0,0,0.44,0,-1,0.014,0.054
88,-2,0,0.91,0,1,-0.015,-0.048
89,1,0,-0.64,0,0,0.011,-0.033
90,1,0,-0.65,0,-2,-0.042,0.031
91,-1,0,0.53,0,1,-0.005,-0.022
92,0,0,-1.01,0,1,-0.012,-0.066
93,2,0,-0.53,0,-2,-0.029,0.005
94,-1,0,1.35,0,0,0.009,0.012
95,-1,0,-0.49,0,1,-0.011,-0.094
96,2,0,-1.88,0,-1,-0.002,0.022
97,0,0,0.25,0,0,0.012,0.1
98,-2,0,-0.02,0,2,-0.018,-0.024
99,1,0,-0.45,0,-1,0.007,0.025
100,1,0,0.57,0,-1,0.017,0.108
101,-1,0,0.41,0,1,-0.014,-0.038
102,0,0,-0.97,0,0,0.011,-0.075
103,2,0,-0.32,0,-2,0.036,0.007
104,-1,0,0.13,0,1,-0.024,0.024
105,-1,0,-0.78,0,1,0.036,-0.043
106,2,0,-0.57,0,-1,-0.01,0.02
107,-1,0,0.21,0,0,0.029,0.065
108,-1,0,-0.17,0,2,0.037,-0.037
109,2,0,-0.85,0,-1,0.008,0.049
110,0,0,0.79,0,-1,-0.009,0.02
111,-1,0,0.15,0,0,0.028,-0.038
112,0,0,-0.14,0,0,0.011,-0.059
113,0,0,-0.16,0,0,-0.013,-0.067
114,0,0,0.31,0,0,-0.04,0
115,0,0,0.55,0,0,-0.052,-0.044
116,1,0,-0.57,0,0,0.012,-0.029
117,228,118,-154.72,-90.73,0,0.031,-0.137
118,2865,2249,-681.2,-588.78,2,-0.073,-0.07
119,9144,8095,-1139.96,-1100.38,-2,0.04,-0.222
120,17091,15971,-1181.81,-1200,-2,0.083,-0.213
121,25090,23970,-1189.83,-1200,-2,0.017,-0.195
122,33089,31970,-1182.33,-1200,-2,0.016,-0.179
123,41089,39989,-1181.55,-1200,-2,0.03,-0.164
124,49088,47988,-1198.27,-1200,-2,0.068,-0.165
125,57088,55988,-1197.64,-1200,-1,0.014,-0.214
126,65088,64008,-1198.91,-1200,-1,0.076,-0.305
127,73089,71988,-1181.49,-1200,-3,-0.006,-0.112
128,81089,80009,-1195.83,-1200,-2,0.008,-0.262
129,89088,88009,-1198.75,-1200,-2,0.039,-0.239
130,97088,96008,-1181.52,-1200,-3,0.006,-0.188
131,105088,104008,-1182.55,-1200,-3,-0.005,-0.209
132,113086,112007,-1199,-1200,-1,0.008,-0.332
133,121086,120027,-1204.96,-1200,-2,0.003,-0.194
134,129085,128026,-1198.81,-1200,-1,0.02,-0.23
135,137086,136046,-1190.72,-1200,-2,0.043,-0.325
136,145085,144026,-1208.5,-1200,-3,-0.022,-0.132
137,153086,152046,-1181.31,-1200,-2,0.035,-0.247
138,161086,160046,-1176.79,-1200,-2,0.055,-0.22
139,169086,168066,-1199.29,-1200,-2,0.014,-0.264
140,177086,176066,-1199.29,-1200,-3,0.079,-0.384
141,184531,183699,-939.93,-1009.71,-2,0.033,-0.187
142,188966,188617,-346.83,-452.54,0,0.014,-0.2
143,190000,189980,-28.05,-29.99,1,-0.004,-0.054
144,189662,189793,180.36,130.5,-2,0.024,0.104
145,186661,187247,754.04,660.68,0,-0.016,0.142
146,180084,181046,1167.41,1135.07,1,0.019,0.182
147,172110,173109,1216.58,1200,0,0.025,0.287
148,164110,165130,1208.76,1200,0,0.085,0.314
149,156110,157091,1199.57,1200,0,0.052,0.169
150,148111,149091,1198.7,1200,1,0.025,0.152
151,140113,141092,1214.45,1200,2,0.002,0.143
152,132113,133092,1202.02,1200,2,0.026,0.176
153,124112,125072,1198.69,1200,2,0.025,0.196
154,116112,117092,1216.62,1200,1,0.046,0.187
155,108111,109091,1199.23,1200,2,0.027,0.2
156,100112,101071,1216.56,1200,1,0.071,0.221
157,92112,93052,1215.17,1200,1,0.014,0.299
158,84111,85072,1199.4,1200,1,-0.003,0.239
159,76112,77073,1198.15,1200,1,0.08,0.212
160,68113,69033,1216.95,1200,2,0.078,0.153
161,60114,61034,1216.51,1200,2,0.044,0.221
162,52114,53054,1198.96,1200,1,0.095,0.237
163,44113,45054,1190.41,1200,1,-0.002,0.136
164,36114,37034,1198.8,1200,2,0.049,0.134
165,28114,29034,1198.29,1200,1,0.112,0.267
166,20113,21014,1181.37,1200,1,0.068,0.281
167,12113,13034,1197.76,1200,2,0.039,0.226
168,4856,5566,900.13,956.71,1,-0.001,0.248
169,804,1072,303.4,388.18,-1,0.013,0.139
170,1,5,-0.18,12.27,2,0.022,0.068
171,481,330,-237.12,-177.53,1,-0.006,-0.101
172,3867,3303,-814.73,-730.23,0,0.041,-0.153
173,10719,9857,-1174.6,-1163.2,1,-0.068,-0.205
174,18710,17831,-1182.64,-1200,2,-0.039,-0.234
175,26709,25830,-1200.87,-1200,2,-0.057,-0.187
176,34709,33849,-1176.9,-1200,2,-0.037,-0.213
177,42708,41849,-1203.5,-1200,1,-0.007,-0.163
178,50707,49828,-1202.22,-1200,1,-0.071,-0.225
179,58707,57848,-1200.09,-1200,1,-0.082,-0.171
180,66707,65848,-1200.8,-1200,1,-0.067,-0.181
181,74708,73848,-1200.94,-1200,1,-0.032,-0.223
182,82708,81849,-1200.87,-1200,1,-0.057,-0.252
183,90707,89848,-1200.95,-1200,1,-0.067,-0.123
184,98707,97868,-1200.81,-1200,2,-0.026,-0.193
185,106707,105868,-1200.27,-1200,2,-0.074,-0.23
186,114706,113867,-1226.86,-1200,2,-0.047,-0.23
187,122707,121887,-1200.21,-1200,1,-0.057,-0.126
188,130706,129866,-1200.64,-1200,1,-0.102,-0.112
189,138706,137886,-1200.78,-1200,2,-0.037,-0.162
190,146705,145886,-1223.28,-1200,3,-0.037,-0.173
191,154705,153886,-1200.08,-1200,2,-0.023,-0.222
192,162704,161906,-1208.84,-1200,3,-0.087,-0.137
193,170705,169926,-1217.97,-1200,2,-0.018,-0.175
194,178703,177906,-1182.02,-1199.27,2,-0.025,-0.297
195,185735,185158,-862.22,-898.99,-1,-0.022,-0.098
196,189394,189208,-277.44,-322.5,1,-0.038,-0.154
197,189998,190000,-0.11,-2.16,2,0.006,0.027
198,189350,189511,295.7,229.21,0,0.025,0.142
199,185582,186108,858.94,796.58,-1,0.009,0.082
200,178489,179261,1198.7,1183.22,0,-0.063,0.193
201,170491,171249,1199.65,1200,-1,-0.055,0.132
202,162491,163230,1201.19,1200,-1,0.009,0.254
203,154491,155231,1200.52,1200,0,0.03,0.252
204,146492,147231,1214.62,1200,-1,-0.027,0.201
205,138493,139232,1209.31,1200,-1,-0.024,0.209
206,130492,131212,1182.88,1200,-1,-0.057,0.207
207,122492,123232,1191.65,1200,-1,-0.041,0.222
208,114492,115211,1199.86,1200,-1,-0.079,0.2
209,106491,107211,1199.52,1200,-1,-0.072,0.079
210,98493,99212,1220.32,1200,-1,-0.058,0.162
211,90493,91192,1199.76,1200,-1,-0.056,0.223
212,82493,83192,1200.76,1200,-2,-0.056,0.203
