Status,40080111
Voltage,-0.02 (-0.14)
Supply,24.1V / 0.2A/37.1C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
126,40308,39969,-1205.23,-1200,6,-0.017,-0.118
127,48307,47988,-1218.32,-1200,6,-0.054,-0.149
128,56306,55988,-1218.83,-1200,6,0.004,-0.122
129,64307,63988,-1205.73,-1200,6,0.002,-0.177
130,72307,72008,-1212.16,-1200,5,-0.065,-0.18
131,80307,79989,-1216.83,-1200,8,-0.02,-0.136
132,88307,87989,-1219.77,-1200,7,-0.02,-0.153
133,96305,96008,-1218.25,-1200,7,-0.024,-0.17
134,104305,104008,-1207.53,-1200,7,-0.021,-0.188
135,112305,112007,-1200.47,-1200,6,-0.026,-0.173
136,120303,120027,-1204.61,-1200,8,-0.06,-0.15
137,128302,128026,-1216.47,-1200,7,-0.012,-0.129
138,136302,136026,-1220.45,-1200,7,-0.029,-0.096
139,144302,144006,-1223.55,-1200,7,-0.052,-0.142
140,152303,152006,-1205.93,-1200,8,-0.039,-0.147
141,160303,160006,-1205.24,-1200,8,-0.037,-0.196
142,168304,168026,-1210.26,-1200,6,-0.031,-0.133
143,176306,176046,-1218.89,-1200,4,-0.047,-0.184
144,183896,183683,-991.97,-1010.8,3,-0.05,-0.164
145,188703,188617,-427.52,-452.54,2,0.014,-0.117
146,189990,189979,-20.16,-30.46,-6,-0.039,-0.06
147,189770,189793,164.83,130.5,-5,-0.002,0.116
148,187108,187247,675.66,660.68,3,0.033,0.124
149,180821,181046,1153.99,1135.07,-8,-0.007,0.174
150,172874,173109,1215.97,1200,-8,-0.024,0.138
151,164874,165130,1215.83,1200,-6,0.014,0.158
152,156875,157111,1216.76,1200,-6,-0.046,0.151
153,148875,149091,1210.72,1200,-6,-0.044,0.134
154,140876,141072,1218.37,1200,-7,-0.039,0.145
155,132875,133092,1208.95,1200,-7,-0.068,0.137
156,124876,125072,1223.9,1200,-6,-0.019,0.091
157,116874,117072,1208.63,1200,-5,-0.018,0.15
158,108874,109071,1200.51,1200,-6,-0.046,0.149
159,100875,101071,1215.78,1200,-6,-0.032,0.154
160,92875,93052,1217.95,1200,-6,-0.019,0.105
161,84874,85052,1209.55,1200,-6,-0.053,0.145
162,76876,77053,1216.28,1200,-5,0,0.148
163,68875,69053,1218.27,1200,-5,0.004,0.149
164,60877,61054,1208.17,1200,-5,-0.001,0.162
165,52876,53034,1209.4,1200,-5,-0.08,0.144
166,44878,45034,1222.51,1200,-5,-0.014,0.165
167,36877,37034,1209.02,1200,-6,-0.043,0.173
168,28877,29054,1209.64,1200,-4,0.02,0.157
169,20876,21014,1209.53,1200,-5,0.001,0.193
170,12875,13014,1215.8,1200,-3,0.001,0.161
171,5440,5566,949,956.71,0,-0.008,0.146
172,1023,1059,361.45,385.38,-2,0.024,0.161
173,0,5,0.38,12.27,3,-0.018,0.016
174,336,321,-185.23,-174.35,7,0.013,-0.1
175,3346,3266,-738.13,-725.84,5,0.002,-0.125
176,9940,9818,-1159.82,-1162.16,-7,0.021,-0.181
177,17916,17771,-1199.41,-1200,-6,-0.019,-0.178
178,25916,25810,-1189.63,-1200,-7,0.027,-0.174
179,33915,33789,-1194.5,-1200,-7,0.008,-0.138
180,41916,41789,-1175.33,-1200,-7,0.033,-0.167
181,49915,49828,-1183.04,-1200,-8,0.036,-0.156
182,57915,57828,-1177.35,-1200,-7,0.049,-0.189
183,65914,65828,-1182.93,-1200,-7,0.019,-0.144
184,73916,73828,-1183.05,-1200,-9,0.041,-0.171
185,81915,81829,-1198.18,-1200,-7,0.009,-0.107
186,89915,89828,-1199.1,-1200,-8,0.016,-0.153
187,97916,97848,-1176.88,-1200,-8,0.005,-0.169
188,105915,105848,-1177.91,-1200,-7,-0.012,-0.171
189,113914,113847,-1181.72,-1200,-7,0.024,-0.194
190,121913,121847,-1188.05,-1200,-7,0.034,-0.162
