,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
51,-0.041,-0.118,-0.051,0.01,-0.01,-0.151,-0.017,0.081,-0.146,-0.115,-0.183,-0.213,0.166
52,-0.009,-0.048,-0.005,-0.215,-0.305,-0.137,0.17,-0.12,-0.142,0.273,-0.143,-0.2,0.122
53,0.043,0.096,0.015,-0.041,0.092,0.047,-0.329,0.005,-0.151,-0.015,-0.169,-0.199,0.162
54,0.011,-0.094,-0.094,0.086,-0.138,-0.078,-0.334,0.087,-0.146,-0.357,-0.184,-0.117,0.153
55,-0.072,-0.144,-0.043,-0.26,-0.306,-0.133,0.072,-0.02,-0.14,-0.049,-0.263,-0.188,0.167
56,0.021,0.071,0.055,-0.171,0.03,-0.007,0.236,0.016,-0.185,0.113,-0.192,-0.282,0.125
57,-0.032,-0.095,-0.06,0.017,-0.215,-0.093,-0.363,0.067,-0.183,-0.159,-0.096,-0.15,0.194
58,-0.073,-0.09,-0.056,-0.177,-0.231,-0.203,-0.132,-0.052,-0.188,-0.064,-0.164,-0.17,0.117
59,-0.019,0.062,0.073,-0.231,0.065,0.024,0.289,0.002,-0.187,0.253,-0.167,-0.213,0.202
60,0.032,0.017,0.029,0.071,-0.279,-0.015,0.27,0.069,-0.171,-0.3,-0.142,-0.233,0.208
61,-0.055,-0.147,0.0,-0.076,-0.159,-0.181,-0.262,-0.081,-0.134,-0.115,-0.094,-0.241,0.16
62,-0.047,0.085,-0.033,-0.189,0.092,-0.039,-0.199,0.056,-0.227,0.287,-0.199,-0.177,0.181
63,0.073,0.03,0.039,0.048,-0.315,0.0,0.446,0.113,-0.163,-0.189,-0.189,-0.231,0.137
64,-0.046,-0.113,0.018,0.06,-0.045,-0.146,0.168,-0.049,-0.115,-0.194,-0.179,-0.229,0.081
65,-0.052,-0.037,-0.013,-0.24,0.067,-0.014,-0.416,-0.008,0.335,0.252,-0.207,-0.188,0.164
66,0.023,0.079,0.01,-0.15,-0.285,0.043,-0.2,0.021,-0.012,-0.078,-0.145,-0.226,0.126
67,0.058,-0.116,0.01,0.132,0.007,-0.123,0.396,0.027,0.111,-0.317,-0.111,-0.171,0.102
68,-0.088,-0.092,-0.037,-0.259,-0.069,-0.148,0.198,-0.036,0.169,-0.014,-0.025,-0.235,0.158
69,0.005,0.082,-0.055,-0.23,-0.255,0.015,-0.448,-0.065,0.137,0.31,0.094,-0.202,0.181
70,0.038,-0.076,0.064,0.01,0.032,-0.077,-0.229,0.009,0.255,-0.407,0.184,-0.08,0.195
71,-0.066,-0.153,-0.017,-0.095,-0.127,-0.099,0.419,-0.132,0.246,-0.108,0.153,0.117,0.18
72,-0.047,0.122,-0.062,-0.28,-0.299,0.054,0.271,-0.119,0.134,0.266,0.172,0.156,0.152
73,0.053,-0.052,-0.034,0.028,0.121,-0.009,-0.211,-0.157,0.16,0.012,0.173,0.22,-0.474
74,-0.008,-0.125,-0.018,0.019,-0.228,-0.146,-0.245,-0.176,0.229,-0.218,0.183,0.174,-0.803
75,-0.077,0.011,0.001,-0.237,-0.222,0.01,0.423,-0.245,0.2,0.016,0.154,0.134,-0.161
76,-0.037,0.078,-0.036,-0.06,0.003,-0.069,0.181,-0.287,0.161,0.382,0.146,0.179,-0.14
77,0.034,-0.071,0.094,0.013,-0.291,-0.152,-0.375,-0.14,0.16,-0.399,0.219,0.085,-0.201
78,-0.042,-0.018,0.048,-0.214,-0.136,-0.004,-0.131,-0.186,0.129,-0.051,0.156,0.175,-0.148
79,-0.042,0.02,-0.118,-0.094,0.105,-0.007,0.448,-0.132,0.233,0.017,0.157,0.298,-0.171
80,0.093,-0.115,-0.015,0.076,-0.278,-0.133,0.025,-0.208,0.123,-0.307,0.171,0.178,-0.219
81,-0.029,0.039,0.046,-0.196,-0.023,-0.038,-0.458,-0.15,0.178,0.341,0.139,0.179,-0.076
82,-0.052,0.017,-0.022,-0.151,0.015,0.026,-0.068,-0.203,0.148,-0.446,0.124,0.18,-0.265
83,-0.014,-0.111,-0.111,0.03,-0.247,-0.158,0.237,-0.17,0.214,-0.05,0.185,0.178,-0.179
84,0.039,-0.119,0.036,-0.135,0.099,-0.105,-0.447,-0.155,0.12,0.003,0.105,0.148,-0.14
85,-0.114,0.062,0.101,-0.244,-0.11,0.008,-0.01,-0.177,0.148,-0.246,0.177,0.176,-0.135
86,0.014,-0.127,-0.014,0.09,-0.185,-0.185,0.282,-0.097,0.137,0.045,0.184,0.243,-0.098
87,0.054,-0.089,-0.035,-0.144,0.102,-0.024,-0.381,-0.17,0.166,-0.306,0.137,0.297,-0.157
88,-0.048,0.09,0.059,-0.207,-0.187,0.077,-0.046,-0.197,0.121,0.264,0.179,0.183,-0.166
89,-0.033,-0.01,-0.037,-0.012,-0.254,-0.139,0.315,-0.176,0.103,0.108,0.133,0.168,-0.133
90,0.031,-0.11,-0.086,-0.022,0.102,-0.091,-0.34,-0.231,0.221,-0.176,0.168,0.208,-0.122
91,-0.022,0.124,0.024,-0.196,-0.293,0.048,-0.071,-0.295,0.121,0.313,0.245,0.127,-0.131
92,-0.066,-0.01,-0.039,0.031,-0.136,-0.105,0.28,-0.178,-0.084,-0.239,0.15,0.185,-0.234
93,0.005,-0.102,-0.091,0.053,0.068,-0.179,-0.333,-0.171,-0.224,0.416,0.22,0.219,-0.224
94,0.012,0.028,0.006,-0.237,-0.27,0.008,-0.277,-0.156,-0.161,-0.354,0.097,0.162,-0.113
95,-0.094,-0.036,0.03,0.011,-0.014,-0.142,0.496,-0.212,-0.114,0.41,0.007,0.205,-0.138
96,0.022,-0.086,-0.037,0.037,0.041,-0.195,-0.122,-0.029,-0.076,-0.28,-1.198,0.17,-0.182
97,0.1,0.003,-0.066,-0.232,-0.263,-0.013,-0.399,-0.08,-0.152,0.422,-0.796,0.011,-0.197
98,-0.024,0.087,0.057,-0.04,0.086,-0.081,0.323,0.11,-0.124,-0.048,-0.095,-0.104,-0.135
99,0.025,-0.123,-0.012,0.083,-0.081,-0.2,0.357,0.124,-0.192,-0.19,-0.162,-0.187,-0.035
100,0.108,-0.085,0.021,-0.2,-0.254,-0.075,-0.16,0.115,-0.166,-0.24,-0.183,-0.17,0.14
101,-0.038,0.113,0.025,-0.134,0.056,-0.054,-0.342,0.152,-0.254,0.108,-0.201,-0.217,0.024
102,-0.075,-0.094,-0.041,0.01,-0.215,-0.193,0.134,0.081,-0.131,-0.194,-0.221,-0.222,0.122
103,0.007,-0.042,-0.101,-0.193,-0.281,-0.126,-0.032,0.121,-0.146,0.217,-0.232,-0.201,0.159
104,0.024,0.054,0.017,-0.156,0.058,-0.125,-0.167,0.186,-0.181,0.115,-0.175,-0.169,0.163
105,-0.043,-0.104,0.047,0.052,-0.338,-0.093,-0.158,0.186,-0.151,-0.028,-0.096,-0.135,0.192
106,0.02,-0.087,-0.074,-0.15,-0.123,-0.218,-0.143,0.213,-0.088,0.387,-0.165,-0.2,0.158
107,0.065,0.1,-0.071,-0.237,0.068,-0.15,-0.147,0.168,-0.102,-0.14,-0.187,-0.133,0.123
108,-0.037,0.022,0.084,0.076,-0.288,-0.14,-0.152,0.212,-0.153,-0.29,-0.259,-0.139,0.154
109,0.049,-0.181,-0.026,-0.076,-0.139,-0.132,-0.123,0.1,-0.157,0.262,-0.159,-0.205,0.139
110,0.02,0.086,-0.061,-0.256,0.102,-0.16,-0.234,0.175,-0.135,0.228,-0.17,-0.175,0.113
111,-0.038,0.051,0.003,-0.002,-0.294,-0.076,-0.182,0.139,-0.163,-0.271,-0.187,-0.193,0.177
112,-0.059,-0.124,0.032,-0.074,-0.04,-0.111,-0.177,0.181,-0.131,-0.024,-0.201,-0.19,0.06
113,-0.067,0.09,-0.106,-0.21,0.016,-0.131,-0.176,0.17,-0.16,0.369,-0.201,-0.08,0.222
114,0.0,0.04,-0.087,-0.012,-0.29,-0.164,-0.228,0.154,-0.039,-0.278,-0.165,-0.196,0.13
115,-0.044,-0.066,0.026,0.007,-0.018,-0.164,-0.106,0.205,-0.165,-0.372,-0.174,-0.18,0.146
116,-0.029,-0.09,-0.039,-0.259,-0.065,-0.17,-0.107,0.181,-0.141,-0.044,-0.195,-0.152,0.164
117,-0.137,0.093,-0.115,-0.029,-0.319,-0.151,-0.132,0.191,-0.159,-0.034,-0.159,-0.11,0.218
118,-0.07,-0.143,-0.013,0.035,0.006,-0.126,-0.146,0.251,-0.162,-0.108,-0.163,-0.182,0.123
119,-0.222,-0.061,0.022,-0.249,-0.262,-0.097,-0.239,0.224,-0.162,-0.11,-0.132,-0.117,0.241
120,-0.213,0.052,-0.045,-0.066,-0.287,-0.153,-0.111,0.254,0.128,-0.116,-0.157,-0.186,0.197
