,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
224,-0.049,-0.235,0.008,-0.104,-0.108,-0.158,-0.186,0.248,-0.171,0.204,0.024,-0.182,0.151
225,-0.172,-0.186,0.01,-0.203,-0.223,-0.188,-0.143,0.251,-0.205,0.179,-0.028,-0.219,0.126
226,-0.232,-0.242,-0.063,-0.168,-0.163,-0.179,-0.122,0.155,-0.094,0.278,-0.026,-0.166,0.143
227,-0.272,-0.181,-0.067,-0.132,-0.22,-0.146,-0.129,0.202,0.093,-0.038,0.066,-0.162,0.218
228,-0.18,-0.169,-0.005,-0.096,-0.159,-0.149,-0.143,0.223,0.056,-0.098,0.146,-0.087,0.161
229,-0.242,-0.286,0.001,-0.105,-0.16,-0.145,-0.148,0.227,0.178,-0.073,0.119,-0.166,0.154
230,-0.214,-0.154,-0.015,0.216,-0.14,-0.174,-0.174,0.15,0.199,-0.139,0.159,-0.138,0.122
231,-0.271,-0.162,-0.049,0.068,-0.135,-0.22,-0.131,0.148,0.164,-0.149,0.103,-0.147,0.161
232,-0.22,-0.201,0.02,0.163,-0.16,-0.167,-0.215,-0.119,0.142,-0.109,0.072,0.175,0.219
233,-0.216,-0.197,-0.032,0.134,-0.161,-0.14,-0.144,-0.078,0.125,-0.19,0.136,0.16,0.179
234,-0.137,-0.117,-0.009,0.183,-0.256,-0.122,-0.144,-0.213,0.103,-0.132,0.168,0.269,0.098
235,-0.238,-0.255,-0.024,0.143,-0.248,-0.156,-0.063,-0.171,0.11,-0.077,0.226,0.217,-0.969
236,-0.263,-0.239,-0.003,0.181,-0.17,-0.152,-0.139,-0.279,0.17,-0.136,0.223,0.148,-0.541
237,-0.22,-0.102,-0.018,0.181,-0.16,0.129,0.064,-0.171,0.142,-0.147,0.096,0.132,-0.136
238,-0.333,-0.148,0.029,0.133,-0.207,0.058,0.13,-0.213,0.17,-0.139,0.234,0.288,-0.119
239,-0.157,0.184,-0.014,0.194,-0.216,0.117,0.105,-0.186,0.048,-0.11,0.005,0.135,-0.134
240,-0.268,0.158,-0.037,0.134,-0.165,0.16,0.153,-0.185,0.257,-0.117,-0.033,0.177,-0.145
241,-0.201,0.175,0.037,0.129,-0.091,0.183,0.15,-0.112,0.149,-0.142,0.025,0.132,-0.163
242,-0.199,0.202,-0.023,0.182,-0.134,0.158,0.214,-0.253,0.153,-0.172,0.008,0.105,-0.162
243,-0.238,0.185,0.015,0.168,-0.072,0.162,0.249,-0.142,0.13,-0.208,-0.034,0.201,-0.124
244,-0.266,0.18,-0.061,0.153,-0.184,0.136,0.19,-0.161,0.134,-0.132,-0.018,0.279,-0.124
245,-0.346,0.177,-0.023,0.059,-0.162,0.156,0.123,-0.125,0.115,-0.217,0.007,0.27,-0.175
246,-0.249,0.19,-0.027,0.161,-0.162,0.16,0.196,-0.189,0.107,-0.152,-0.007,0.16,-0.152
247,-0.182,0.217,-0.065,0.125,-0.153,0.152,0.146,-0.139,0.159,-0.158,0.12,0.194,-0.126
248,-0.239,0.208,-0.07,0.126,-0.145,0.079,0.075,-0.122,0.126,-0.132,-0.035,0.16,-0.147
249,-0.129,0.194,-0.091,0.16,0.053,0.156,0.177,-0.131,0.163,-0.082,0.154,0.183,-0.128
250,-0.045,0.21,-0.176,0.094,0.008,0.166,0.142,-0.098,0.093,-0.101,-0.091,0.047,-0.13
251,0.079,0.162,-0.09,0.154,0.125,0.178,0.221,-0.159,0.176,-0.218,-0.023,0.164,-0.121
252,0.085,0.21,-0.184,0.108,0.157,0.255,0.168,-0.114,0.177,-0.184,0.021,0.276,-0.158
253,0.211,0.217,-0.179,0.143,0.168,0.165,0.193,-0.134,0.0,-0.19,0.006,0.171,-0.264
254,0.158,0.182,-0.119,0.152,0.187,0.194,0.183,-0.145,-0.261,-0.074,0.024,0.3,-0.238
255,0.219,0.181,-0.148,0.183,0.241,0.276,0.094,-0.13,-0.083,0.14,0.005,0.15,-0.15
256,0.188,0.17,-0.182,0.022,0.109,0.215,0.191,-0.125,-0.124,0.112,0.053,0.239,-0.142
257,0.184,0.191,-0.176,-0.136,0.089,0.185,0.137,-0.105,-0.164,0.128,-0.012,0.104,-0.25
258,0.236,0.224,-0.12,-0.116,0.201,0.16,0.197,-0.03,-0.142,0.163,-0.04,0.079,-0.061
259,0.181,0.177,-0.172,-0.087,0.14,0.065,0.201,0.112,-0.174,0.117,0.001,-0.167,-0.149
260,0.185,0.117,-0.146,-0.158,0.163,0.187,0.176,0.077,-0.077,0.133,0.023,-0.135,-0.158
261,0.129,0.251,-0.214,-0.144,0.164,0.153,0.184,0.072,-0.131,0.14,0.009,-0.205,-0.169
262,0.246,0.174,-0.092,-0.132,0.146,0.165,0.121,0.174,-0.157,0.208,0.015,-0.263,0.126
263,0.199,0.273,-0.084,-0.091,0.147,0.037,0.167,0.118,-0.087,0.073,0.0,-0.19,0.141
264,0.255,0.265,-0.13,-0.165,0.175,-0.224,-0.077,0.137,-0.168,0.137,0.01,-0.247,0.172
265,0.216,0.104,-0.081,-0.068,0.175,-0.044,-0.109,0.14,-0.147,0.178,-0.009,-0.213,0.156
266,0.161,-0.1,-0.18,-0.117,0.173,-0.19,-0.156,0.116,-0.101,0.232,-0.013,-0.214,0.198
267,0.192,-0.201,-0.144,-0.071,0.135,-0.217,-0.153,0.161,-0.108,0.203,0.013,-0.215,0.119
268,0.214,-0.224,-0.181,-0.095,0.224,-0.284,-0.171,0.147,-0.181,0.153,0.011,-0.185,0.15
269,0.192,-0.249,-0.168,-0.11,0.185,-0.239,-0.185,0.112,-0.208,0.213,-0.02,-0.269,0.115
270,0.155,-0.118,-0.12,-0.217,0.082,-0.222,-0.215,0.117,-0.082,0.19,0.014,-0.21,0.175
271,0.249,-0.178,-0.148,-0.134,0.208,-0.178,-0.206,0.166,-0.1,0.074,0.001,-0.165,0.148
272,0.207,-0.137,-0.166,-0.253,0.225,-0.175,-0.18,0.088,-0.076,0.169,0.008,-0.231,0.128
273,0.228,-0.083,-0.244,-0.138,0.203,-0.225,-0.177,0.185,-0.114,0.156,0.016,-0.208,0.165
274,0.17,-0.177,-0.137,-0.137,0.152,-0.191,-0.108,0.155,-0.131,0.173,0.013,-0.17,0.153
275,0.242,-0.17,-0.163,-0.143,0.061,-0.327,-0.168,0.192,-0.173,0.184,0.004,-0.214,0.162
276,0.151,-0.139,0.069,-0.168,-0.205,-0.158,-0.127,0.172,-0.164,0.158,-0.002,-0.186,0.112
277,0.157,-0.253,0.119,-0.064,-0.137,-0.308,-0.155,0.146,-0.19,0.175,0.001,-0.269,0.071
278,-0.063,-0.092,0.13,-0.177,-0.136,-0.151,-0.216,0.184,-0.116,0.135,-0.015,-0.143,0.154
279,-0.156,-0.177,0.176,-0.156,-0.174,-0.176,-0.163,0.239,-0.074,0.112,-0.009,-0.166,0.147
280,-0.16,-0.158,0.155,-0.062,-0.134,-0.185,-0.157,0.17,-0.048,0.135,0.004,-0.242,0.204
281,-0.172,-0.219,0.171,-0.169,-0.175,-0.191,-0.129,0.207,0.045,-0.053,-0.008,-0.257,0.146
282,-0.196,-0.213,0.099,-0.193,-0.16,-0.127,-0.16,0.213,0.141,-0.111,-0.022,-0.224,0.199
283,-0.162,-0.152,0.166,-0.047,-0.164,-0.163,-0.127,0.153,0.082,-0.168,0.016,-0.207,0.25
284,-0.201,-0.192,0.132,-0.048,-0.154,-0.221,-0.239,0.247,0.182,-0.148,0.013,-0.067,0.197
285,-0.18,-0.17,0.132,0.068,-0.192,-0.2,-0.255,0.069,0.137,-0.096,0.004,-0.204,0.194
286,-0.159,-0.17,0.152,0.124,-0.174,-0.169,-0.244,-0.103,0.171,-0.162,-0.01,0.152,0.142
287,-0.196,-0.179,0.166,0.164,-0.225,-0.21,-0.24,-0.213,0.24,-0.107,-0.001,0.113,0.163
288,-0.196,-0.173,0.144,0.091,-0.222,-0.2,-0.19,-0.149,0.107,-0.197,0.007,0.217,-0.685
289,-0.193,-0.197,0.173,0.156,-0.222,-0.146,-0.169,-0.214,0.143,-0.138,-0.017,0.227,-1.072
290,-0.203,-0.189,0.19,0.175,-0.205,0.002,-0.093,-0.179,0.09,-0.223,0.036,0.185,0.124
291,-0.205,-0.139,0.167,0.093,-0.203,0.082,0.053,-0.22,0.153,-0.158,-0.006,0.156,-0.795
292,-0.148,0.018,0.149,0.173,-0.158,0.078,0.081,-0.18,0.158,-0.162,-0.035,0.179,-0.718
293,-0.104,0.018,0.199,0.153,-0.104,0.207,0.098,-0.162,0.161,-0.158,0.131,0.168,0.159
294,-0.218,0.214,0.162,0.119,-0.233,0.225,0.131,-0.194,0.1,-0.238,-0.003,0.216,-0.824
295,-0.248,0.194,0.173,0.192,-0.179,0.123,0.235,-0.209,0.155,-0.162,0.129,0.21,-0.606
296,-0.199,0.191,0.152,0.055,-0.145,0.173,0.206,-0.204,0.065,-0.109,-0.027,0.155,0.218
297,-0.254,0.156,0.16,0.182,-0.165,0.303,0.175,-0.229,0.127,-0.15,0.02,0.213,-0.88
298,-0.196,0.109,0.218,0.116,-0.246,0.187,0.158,-0.169,0.038,-0.158,-0.043,0.175,-0.485
299,-0.267,0.253,0.165,0.084,-0.207,0.254,0.191,-0.245,0.075,-0.145,0.006,0.175,0.209
300,-0.215,0.188,0.176,0.17,-0.205,0.268,0.25,-0.101,0.193,-0.139,0.108,0.242,-0.812
301,-0.245,0.184,0.09,0.156,-0.19,0.289,0.051,-0.246,0.143,-0.063,-0.01,0.299,-0.241
302,-0.256,0.271,-0.009,0.166,-0.142,0.271,0.241,-0.192,0.069,-0.071,0.015,0.18,0.171
303,-0.18,0.236,-0.021,0.16,0.091,0.235,0.141,-0.154,0.124,-0.143,-0.012,0.175,-0.894
304,-0.022,0.298,-0.142,0.165,0.16,0.181,0.163,-0.256,0.154,-0.114,-0.013,0.173,-0.138
305,0.083,0.174,-0.137,0.121,0.147,0.244,0.244,-0.161,0.204,-0.134,-0.006,0.202,0.395
306,0.235,0.16,-0.183,0.21,0.169,0.213,0.206,-0.189,0.102,-0.213,-0.008,0.179,-0.885
307,0.199,0.266,-0.18,0.175,0.114,0.186,0.074,-0.153,0.036,-0.219,0.008,0.141,-0.016
308,0.248,0.225,-0.214,0.187,0.179,0.225,0.176,-0.104,-0.019,0.066,-0.006,0.194,-0.822
309,0.237,0.184,-0.183,0.193,0.147,0.245,0.184,-0.173,-0.059,0.005,0.004,0.179,0.126
310,0.327,0.176,-0.186,0.066,0.145,0.221,0.23,-0.162,0.005,0.129,0.023,0.212,-0.447
311,0.247,0.171,-0.107,-0.305,0.145,0.186,0.23,-0.175,0.015,0.118,0.004,0.146,-0.86
312,0.195,0.239,-0.215,-0.19,0.133,0.246,0.238,-0.101,-0.007,0.07,0.006,0.134,0.099
313,0.183,0.186,-0.18,-0.144,0.127,0.239,0.165,0.003,-0.028,0.15,0.021,0.129,-0.579
314,0.269,0.196,-0.254,-0.147,0.136,0.191,0.206,0.076,-0.042,0.137,-0.019,-0.102,-0.789
315,0.189,0.168,-0.171,-0.158,0.149,0.133,0.263,0.1,0.031,0.177,-0.009,-0.091,0.096
316,0.204,0.171,-0.162,-0.205,0.138,0.137,0.17,0.2,-0.015,0.087,0.002,0.053,-0.664
317,0.234,0.196,-0.189,-0.107,0.127,0.015,0.076,0.154,0.026,0.159,0.029,-0.035,0.206
318,0.226,0.181,-0.181,-0.088,0.125,-0.109,-0.164,0.249,-0.001,0.174,0.018,-0.147,-0.904
319,0.23,-0.059,-0.166,-0.126,0.115,-0.163,-0.148,0.135,-0.018,0.111,-0.031,0.05,0.054
320,0.222,-0.153,-0.205,-0.206,0.127,-0.174,-0.161,0.196,-0.017,0.2,-0.004,0.039,-0.145
321,0.257,-0.22,-0.17,-0.151,0.159,-0.284,-0.158,0.143,-0.043,0.148,-0.012,-0.074,-0.914
322,0.091,-0.164,-0.189,-0.178,0.199,-0.18,-0.143,0.144,-0.041,0.196,-0.013,0.066,0.075
323,0.199,-0.236,-0.197,-0.156,0.165,-0.159,-0.152,0.189,-0.007,0.163,0.031,0.065,-0.342
324,0.233,-0.143,-0.16,-0.158,0.231,-0.167,-0.184,0.184,0.01,0.124,-0.014,-0.073,-0.883
325,0.143,-0.216,-0.154,-0.142,0.155,-0.185,-0.23,0.102,-0.021,0.099,0.015,0.015,0.127
326,0.164,-0.187,-0.128,-0.142,0.071,-0.124,-0.144,0.271,0.011,0.131,-0.028,0.116,-0.545
327,0.224,-0.236,-0.124,-0.137,0.163,-0.174,-0.143,0.179,-0.007,0.126,-0.006,-0.08,-0.868
328,0.241,-0.241,-0.098,-0.159,0.197,-0.138,-0.17,0.173,0.034,0.141,0.011,-0.08,0.07
329,0.241,-0.152,0.114,-0.135,0.182,-0.11,-0.211,0.236,0.028,0.1,0.007,0.132,-0.669
330,0.16,-0.184,0.106,-0.169,-0.352,-0.111,-0.14,0.174,-0.02,0.056,-0.002,-0.079,-0.985
331,0.156,-0.212,0.169,-0.137,-0.118,-0.169,-0.062,0.163,-0.037,0.16,-0.038,-0.096,0.133
332,-0.058,-0.206,0.184,-0.158,-0.123,-0.189,-0.081,0.186,-0.093,0.084,0.021,-0.036,-0.781
333,-0.113,-0.222,0.156,-0.182,-0.242,-0.147,-0.159,0.173,-0.042,0.149,0.015,-0.144,-0.989
334,-0.205,-0.143,0.171,-0.13,-0.212,-0.134,-0.144,0.215,0.03,0.249,0.019,0.057,0.147
335,-0.213,-0.154,0.219,-0.157,-0.197,-0.171,-0.113,0.223,-0.005,-0.074,0.003,-0.068,-0.818
336,-0.197,-0.184,0.161,-0.148,-0.116,-0.176,-0.143,0.191,-0.011,-0.121,-0.002,-0.113,-0.713
337,-0.119,-0.177,0.165,-0.109,-0.173,-0.151,-0.15,0.204,-0.013,-0.201,-0.002,0.091,0.183
338,-0.149,-0.134,0.151,0.088,-0.101,-0.119,-0.159,0.146,0.003,-0.186,0.002,0.032,-0.855
339,-0.185,-0.26,0.198,0.091,-0.267,-0.135,-0.085,0.14,-0.011,-0.162,0.008,-0.069,-0.479
340,-0.212,-0.155,0.168,0.093,-0.143,-0.152,-0.21,0.079,-0.145,-0.125,0.001,0.031,0.117
341,-0.232,-0.236,0.207,0.123,-0.218,-0.195,-0.146,-0.048,-0.143,-0.152,-0.026,0.045,-0.894
342,-0.233,-0.24,0.138,0.187,-0.125,-0.231,-0.151,-0.065,-0.236,-0.062,0.0,-0.09,-0.85
343,-0.249,-0.229,0.159,0.149,-0.088,-0.164,-0.106,0.049,-0.188,-0.168,0.015,0.003,0.035
344,-0.244,-0.108,0.157,0.139,-0.161,-0.04,-0.138,0.016,-0.141,-0.142,0.005,0.067,0.255
345,-0.245,-0.067,0.15,0.119,-0.198,0.025,0.02,-0.079,-0.126,-0.113,-0.006,-0.129,-0.808
346,-0.275,0.079,0.132,0.093,-0.116,0.105,0.054,0.059,-0.157,-0.132,-0.033,-0.03,-1.044
347,-0.193,0.18,0.168,0.129,-0.084,0.171,0.118,-0.018,-0.134,-0.075,-0.013,0.12,-0.125
348,-0.221,0.164,0.169,0.126,-0.167,0.2,0.101,-0.042,-0.122,-0.133,-0.004,-0.073,-0.868
349,-0.165,0.217,0.158,0.129,-0.183,0.157,0.184,0.074,-0.123,-0.193,0.0,-0.041,-1.097
350,-0.142,0.136,0.07,0.144,-0.18,0.187,0.126,0.01,-0.134,-0.138,0.005,0.053,-0.007
351,-0.176,0.21,0.154,0.156,-0.235,0.13,0.257,-0.021,-0.112,-0.135,0.0,-0.11,0.196
352,-0.214,0.2,0.161,0.139,-0.219,0.173,0.188,0.073,-0.124,-0.17,0.0,-0.069,-0.671
353,-0.187,0.242,0.179,0.161,-0.162,0.166,0.198,-0.049,-0.161,-0.109,0.0,0.083,-1.137
354,-0.262,0.193,0.112,0.186,-0.16,0.176,0.162,-0.054,-0.065,-0.14,0.0,0.029,-0.225
355,-0.216,0.189,0.139,0.083,-0.104,0.15,0.143,0.103,-0.079,-0.153,0.0,-0.157,0.278
356,-0.199,0.28,-0.016,0.106,-0.086,0.175,0.216,-0.016,-0.186,-0.113,0.0,0.066,-0.434
357,-0.158,0.216,-0.202,0.194,0.14,0.083,0.153,-0.022,-0.155,-0.149,0.0,0.019,-1.068
358,-0.095,0.258,-0.108,0.16,0.138,0.19,0.126,0.09,-0.133,-0.104,0.0,-0.063,-0.498
359,0.053,0.237,-0.133,0.161,0.164,0.183,0.134,-0.044,-0.082,-0.212,0.0,0.07,0.144
360,0.153,0.219,-0.202,0.166,0.131,0.121,0.144,0.093,-0.15,-0.122,0.0,0.048,-0.074
361,0.18,0.169,-0.166,0.155,0.2,0.187,0.187,0.06,-0.097,-0.098,0.0,-0.081,-0.995
362,0.198,0.14,-0.158,0.171,0.188,0.277,0.126,-0.051,-0.184,0.086,0.0,-0.027,-0.816
363,0.231,0.215,-0.168,0.17,0.107,0.246,0.17,0.056,0.036,0.121,0.0,0.048,0.093
364,0.214,0.292,-0.254,-0.019,0.081,0.182,0.114,0.004,0.16,0.111,0.0,-0.071,0.254
365,0.218,0.208,-0.165,-0.239,0.144,0.153,0.187,-0.085,0.219,0.098,0.0,-0.05,-0.916
366,0.084,0.206,-0.258,-0.135,0.136,0.212,0.077,0.013,0.103,0.065,0.0,0.092,-1.178
367,0.223,0.201,-0.191,-0.127,0.163,0.161,0.085,-0.008,0.182,0.162,0.0,-0.038,-0.009
368,0.164,0.214,-0.175,-0.195,0.142,0.226,0.167,-0.089,0.161,0.148,0.0,-0.093,0.231
369,0.224,0.165,-0.21,-0.145,0.064,0.198,0.203,0.028,0.088,0.156,0.0,0.083,-0.665
370,0.118,0.168,-0.24,-0.14,0.13,0.149,0.163,0.034,0.15,0.115,0.0,-0.06,-1.153
371,0.241,0.193,-0.2,-0.19,0.148,0.115,0.042,-0.022,0.193,0.178,0.0,-0.045,-0.239
372,0.258,0.218,-0.196,-0.203,0.151,-0.037,0.277,0.042,0.124,0.188,0.0,0.098,0.22
373,0.149,-0.135,-0.152,-0.131,0.201,0.05,-0.34,0.062,0.235,0.139,0.0,-0.036,-0.439
374,0.256,-0.082,-0.224,-0.146,0.167,-0.178,0.148,-0.182,0.183,0.187,0.0,-0.079,-1.037
375,0.243,-0.143,-0.239,-0.097,0.205,-0.091,0.148,-0.162,0.112,0.215,0.0,0.037,-0.591
376,0.162,-0.194,-0.258,-0.158,0.219,0.056,-0.36,-0.128,0.177,0.088,0.0,-0.014,0.191
377,0.124,-0.182,-0.13,-0.184,0.171,-0.176,-0.071,-0.181,0.132,0.178,0.0,-0.128,-0.038
378,0.099,-0.162,-0.184,-0.143,0.063,-0.02,0.294,-0.151,0.136,0.172,0.0,0.042,-0.989
379,0.222,-0.147,-0.272,-0.06,0.23,0.068,-0.253,-0.238,0.108,0.129,0.0,-0.057,-0.843
380,0.216,-0.179,-0.193,-0.076,0.17,-0.119,0.17,-0.19,0.107,0.145,0.0,-0.055,0.057
381,0.171,-0.251,-0.155,-0.183,0.15,0.013,-0.505,-0.099,0.139,0.177,0.0,0.037,0.281
382,0.169,-0.146,-0.126,-0.196,0.162,0.035,0.118,-0.188,0.163,0.143,0.0,-0.024,-0.924
383,0.202,-0.227,0.009,-0.214,0.048,-0.168,-0.25,-0.278,0.147,0.142,0.0,-0.139,-1.26
384,0.158,-0.129,0.104,-0.19,-0.136,-0.024,-0.205,-0.079,0.173,0.178,0.0,0.054,-0.07
385,0.106,-0.148,0.105,-0.156,-0.126,0.024,0.264,-0.139,0.196,0.201,0.0,-0.026,0.223
386,0.069,-0.283,0.077,-0.17,-0.116,-0.208,-0.394,-0.188,0.03,0.139,0.0,-0.073,-0.604
387,-0.061,-0.167,0.059,-0.182,-0.156,0.002,0.385,-0.174,-0.147,0.133,0.0,0.046,-1.128
388,-0.048,-0.224,0.195,-0.183,-0.153,0.054,-0.402,-0.183,-0.157,0.179,0.0,0.161,-0.286
389,-0.029,-0.159,0.161,-0.111,-0.179,-0.152,0.481,0.108,-0.27,0.069,0.0,-0.123,0.135
390,0.083,-0.197,0.171,-0.157,-0.149,-0.002,-0.27,0.13,-0.456,0.362,0.0,-0.046,-0.296
391,-0.123,-0.274,0.181,-0.083,-0.08,-0.254,-0.292,0.178,-0.398,0.288,0.0,0.086,-1.062
392,-0.029,-0.182,0.171,0.034,-0.2,0.026,0.327,0.156,-0.478,0.319,0.0,-0.119,-0.6
393,0.068,-0.17,0.164,0.043,-0.175,-0.001,-0.502,0.118,-0.289,0.253,0.0,-0.061,0.156
394,-0.056,-0.146,0.15,0.157,-0.134,-0.219,0.282,0.116,-0.363,0.238,0.0,0.078,0.021
395,-0.047,-0.192,0.119,0.097,-0.182,-0.028,-0.363,0.125,0.118,0.382,0.0,-0.008,-0.983
396,0.054,-0.131,0.165,0.162,-0.2,0.006,0.226,0.222,-0.205,0.247,0.0,0.11,-0.939
397,0.031,-0.204,0.146,0.172,-0.251,-0.182,-0.129,0.128,-0.385,0.06,0.0,0.08,-0.004
398,-0.089,-0.16,0.24,0.174,-0.122,-0.015,0.151,0.181,-0.25,-0.115,0.0,-0.089,0.199
399,-0.072,-0.083,0.193,0.24,-0.118,0.045,-0.003,0.174,0.208,-0.277,0.0,0.139,-0.753
400,0.058,0.122,0.176,0.158,-0.202,-0.229,0.131,0.159,0.342,-0.267,0.0,0.038,-1.279
401,-0.069,0.082,0.204,0.137,-0.194,0.009,-0.342,0.168,0.407,-0.251,0.0,-0.149,-0.098
402,-0.024,0.128,0.246,0.155,-0.186,0.038,0.271,0.172,-0.05,-0.14,0.0,-0.019,0.217
403,0.065,0.212,0.118,0.138,-0.195,-0.19,-0.363,0.118,-0.551,0.103,0.0,0.129,-0.588
404,0.066,0.154,0.236,0.117,-0.183,-0.001,0.357,0.136,-0.352,0.34,0.0,-0.12,-1.147
405,-0.052,0.218,0.227,0.137,-0.126,0.081,-0.203,0.155,0.094,0.345,0.0,-0.116,-0.447
406,0.079,0.217,0.18,0.146,-0.164,-0.159,0.024,0.137,0.196,0.152,0.0,0.11,0.189
407,-0.055,0.229,0.159,0.25,-0.153,-0.083,0.17,0.154,0.157,-0.029,0.0,-0.051,-0.228
408,-0.09,0.161,0.129,0.175,-0.159,0.045,-0.323,0.185,0.056,-0.279,0.0,-0.11,-1.006
409,0.084,0.196,0.128,0.194,-0.206,-0.182,0.24,0.2,0.141,-0.192,0.0,0.113,-0.796
410,0.034,0.216,-0.107,0.175,-0.075,-0.096,-0.139,0.237,0.181,-0.197,0.0,-0.089,0.144
411,-0.072,0.206,-0.044,0.129,0.113,0.048,0.024,0.199,0.095,-0.045,0.0,-0.154,0.057
412,-0.058,0.245,-0.188,0.222,0.136,-0.15,0.239,0.205,0.094,-0.032,0.0,-0.155,-0.898
413,0.062,0.276,-0.13,0.131,0.173,-0.052,-0.257,0.204,-0.032,0.204,0.0,-0.24,-1.19
414,0.032,0.177,-0.237,0.144,0.236,0.044,0.022,0.163,-0.021,0.295,0.0,-0.21,-0.302
415,-0.05,0.276,-0.136,0.155,0.176,-0.204,0.45,0.08,-0.025,0.048,0.0,-0.14,0.024
416,0.063,0.261,-0.202,0.214,0.214,-0.153,-0.215,-0.188,-0.042,-0.146,0.0,-0.221,-0.186
417,0.02,0.183,-0.2,0.104,0.122,0.069,-0.403,-0.152,-0.048,-0.098,0.0,-0.214,-0.761
418,-0.09,0.235,-0.219,0.064,0.123,-0.117,0.258,-0.164,-0.005,-0.298,0.0,-0.256,-1.177
419,0.038,0.161,-0.171,0.043,0.148,-0.155,0.3,-0.213,-0.004,-0.296,0.0,-0.224,-1.443
420,0.096,0.181,-0.155,0.022,0.205,0.037,-0.283,-0.141,0.015,-0.17,0.0,-0.175,-1.113
421,-0.157,0.212,-0.168,-0.279,0.15,-0.136,-0.222,-0.145,0.007,-0.084,0.0,-0.166,-0.163
422,-0.095,0.207,-0.084,-0.015,0.147,-0.16,0.249,-0.224,0.032,0.3,0.0,-0.118,-0.126
423,0.07,0.27,-0.165,0.03,0.154,0.072,0.258,-0.197,0.017,0.176,0.0,-0.195,-0.186
424,0.072,0.202,-0.204,-0.223,0.15,-0.114,-0.126,-0.228,0.018,0.379,0.0,-0.205,-0.155
425,-0.085,0.165,-0.178,-0.168,0.141,-0.044,-0.274,-0.281,0.0,0.149,0.0,-0.202,-0.067
426,0.037,0.086,-0.245,0.02,0.153,0.016,-0.468,-0.182,-0.017,0.128,0.0,-0.181,-0.108
427,0.055,-0.141,-0.101,-0.165,0.126,-0.138,-0.169,-0.179,0.02,-0.382,0.0,-0.153,-0.198
428,-0.143,-0.195,-0.154,-0.234,0.144,-0.136,0.126,-0.18,-0.071,-0.2,0.0,-0.204,-0.114
429,-0.075,-0.24,-0.164,-0.015,0.235,0.103,0.242,-0.167,-0.043,0.264,0.0,-0.24,-0.068
430,0.113,-0.216,-0.078,-0.066,0.116,-0.156,0.357,-0.225,-0.037,0.248,0.0,-0.165,-0.08
431,-0.044,-0.171,-0.154,-0.263,0.183,-0.153,-0.044,-0.239,-0.028,-0.021,0.0,-0.183,-0.073
432,-0.132,-0.275,-0.243,0.029,0.169,0.052,0.051,-0.211,-0.089,-0.197,0.0,-0.19,-0.098
433,0.001,-0.148,-0.204,0.013,0.158,-0.153,-0.123,-0.184,-0.012,-0.191,0.0,-0.22,-0.1
434,0.012,-0.253,-0.138,-0.274,0.148,-0.131,-0.069,-0.237,0.032,-0.16,0.0,-0.168,-0.14
435,-0.049,-0.13,-0.146,-0.016,0.164,0.063,-0.172,-0.153,0.008,0.089,0.0,-0.29,-0.162
436,0.0,-0.23,-0.092,0.02,0.16,-0.149,-0.072,-0.215,0.039,0.384,0.0,-0.098,-0.072
437,0.0,-0.233,0.105,-0.242,0.173,-0.106,-0.064,-0.095,0.015,0.253,0.0,-0.132,-0.087
438,0.0,-0.15,0.048,0.066,-0.076,0.021,0.063,-0.15,-0.071,0.113,0.0,0.111,-0.116
439,0.0,-0.19,0.088,-0.308,0.132,-0.171,0.047,-0.236,-0.052,-0.239,0.0,0.14,-0.244
440,0.0,-0.254,0.126,-0.027,-0.344,-0.104,0.034,-0.179,0.059,-0.338,0.0,0.178,-0.452
441,0.0,-0.185,0.145,0.062,0.043,0.006,0.02,-0.126,0.002,-0.193,0.0,0.232,0.046
442,0.0,-0.254,0.214,-0.279,0.057,0.011,0.053,-0.049,0.026,0.099,0.0,0.183,0.537
443,0.0,-0.261,0.182,-0.138,-0.341,0.034,-0.005,0.122,0.01,0.206,0.0,0.303,0.208
444,0.0,-0.296,0.157,0.043,0.04,-0.002,0.02,0.177,-0.008,-0.114,0.0,0.208,-0.332
445,0.0,-0.285,0.203,-0.203,-0.012,-0.019,0.049,0.208,-0.008,-0.097,0.0,0.2,-0.483
446,0.0,-0.206,0.297,-0.201,-0.348,0.013,0.016,0.1,0.024,-0.288,0.0,0.196,-0.116
447,0.0,-0.157,0.191,0.064,-0.022,0.006,0.039,0.085,-0.008,-0.179,0.0,0.23,0.327
448,0.0,-0.176,0.133,-0.059,-0.117,0.008,0.023,-0.054,-0.001,-0.126,0.0,0.166,0.379
449,0.0,-0.195,0.077,-0.206,-0.33,-0.018,0.046,0.299,0.019,0.245,0.0,0.194,0.198
450,0.0,-0.186,0.173,0.043,0.084,-0.012,0.039,0.209,-0.032,-0.125,0.0,0.199,-0.241
451,0.0,-0.227,0.132,0.017,-0.321,0.04,0.023,-0.341,-0.006,-0.458,0.0,0.185,-0.409
452,0.0,-0.212,0.205,-0.22,-0.275,0.012,0.032,0.05,0.018,-0.297,0.0,0.19,0.336
453,0.0,-0.199,0.172,-0.112,0.088,-0.03,0.029,0.352,-0.005,0.07,0.0,0.193,0.448
454,0.0,0.112,0.211,0.051,-0.293,0.014,0.066,-0.221,0.016,0.237,0.0,0.182,0.194
