Status,40080111
Voltage,-0.19 (0.29)
Supply,24.1V / 0.2A/42.5C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,4,0,0,0,-5,-0.045,0.029
1,1,0,0.23,0,-2,-0.014,0.048
2,-3,0,0.02,0,2,0.025,0.015
3,-4,0,0.38,0,4,-0.017,-0.02
4,-4,0,-0.09,0,4,0.028,-0.045
5,-1,0,-0.41,0,2,0.016,-0.049
6,2,0,-0.18,0,-1,0.002,-0.004
7,4,0,-1,0,-4,-0.027,0.04
8,4,0,0.2,0,-4,0.027,0.073
9,1,0,-0.15,0,-2,0.048,0.075
10,-3,0,0.15,0,2,-0.021,0.053
11,-5,0,-0.63,0,5,0.019,-0.012
12,-4,0,-0.28,0,4,-0.01,-0.025
13,-1,0,-0.9,0,2,-0.013,-0.021
14,3,0,-0.37,0,-2,-0.004,-0.031
15,5,0,0.49,0,-5,-0.021,0.029
16,4,0,0.63,0,-4,0.005,0.043
17,0,0,0.56,0,-1,-0.023,0.024
18,-3,0,-0.02,0,2,0.013,-0.008
19,-4,0,-0.2,0,4,0.015,0.008
20,-3,0,-8.66,0,3,-0.008,-0.04
21,0,0,-0.13,0,1,0.022,-0.055
22,2,0,0.23,0,-2,-0.019,-0.011
23,2,0,-7.31,0,-3,0.022,-0.009
24,2,0,-0.44,0,-2,0.001,0.039
25,0,0,0.51,0,0,0.015,0.051
26,-1,0,0.67,0,1,-0.002,0.014
27,-2,0,0.07,0,1,-0.003,-0.014
28,700,396,-319.6,-211.29,4,0.016,-0.069
29,4676,3709,-861.43,-775.85,-2,0.013,-0.09
30,11151,9963,-1007.22,-1000,-2,-0.062,-0.125
31,17813,16646,-1013.52,-1000,4,-0.024,-0.155
32,24475,23313,-1004.82,-1000,-5,0.016,-0.154
33,31150,29980,-1009.48,-1000,-2,-0.017,-0.135
34,37812,36664,-1006.46,-1000,4,-0.05,-0.11
35,44476,43314,-994.27,-1000,-4,0.064,-0.17
