Status,40080111
Voltage,-0.14 (0.07)
Supply,23.9V / 0.2A/42.8C / 3.7W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,2,0,0.38,0,-3,0.007,0.01
1,-3,0,0.46,0,2,-0.014,-0.14
2,0,0,0.15,0,1,0.025,-0.184
3,3,0,0.38,0,-3,0.035,0.024
4,-2,0,0.68,0,1,-0.014,-0.005
5,-2,0,0.02,0,2,-0.009,-0.156
6,3,0,-0.67,0,-3,0.003,-0.019
7,-1,0,1.04,0,-1,0.007,0
8,-3,0,-1.67,0,3,0.028,-0.18
9,3,0,-0.45,0,-2,-0.007,-0.105
10,1,0,1.49,0,-2,0.002,0.057
11,-3,0,-0.95,0,3,0.037,-0.171
12,1,0,-1.52,0,0,0.014,-0.206
13,3,0,0.48,0,-3,0.005,0.025
14,-3,0,0.71,0,2,0.021,-0.005
15,-1,0,-2.1,0,2,-0.005,-0.248
16,3,0,0.24,0,-3,0.002,-0.094
17,-2,0,-5.66,0,0,0.003,0.028
18,-3,0,0.27,0,3,-0.001,-0.195
19,3,0,0.28,0,-3,-0.035,-0.074
20,1,0,0.84,0,-2,-0.008,0.041
21,-3,0,0.87,0,4,0.024,-0.092
22,2,0,-0.83,0,-1,-0.005,-0.119
23,2,0,-6.41,0,-3,0.011,0.052
24,-3,0,-0.08,0,2,0.01,-0.085
25,-1,0,1.13,0,2,0.011,-0.178
26,3,0,-0.17,0,-4,0.013,-0.003
27,-2,0,1.26,0,1,0.007,-0.016
28,-3,0,-7.61,0,3,0.004,-0.164
29,3,0,-0.06,0,-2,0.001,-0.034
30,1,0,0.51,0,-2,0.02,0.021
31,-3,0,0.95,0,3,0.027,-0.142
32,2,0,-2.78,0,-1,0.005,-0.214
33,2,0,0.72,0,-3,-0.007,0.013
34,-3,0,0.57,0,3,0.004,-0.053
35,0,0,-0.8,0,1,-0.022,-0.193
36,3,0,-0.24,0,-3,0.02,0
37,-2,0,0.74,0,1,0.023,0.004
38,-2,0,-1.08,0,3,0.022,-0.154
39,3,0,0.23,0,-3,-0.006,0.02
40,0,0,1.53,0,-1,-0.022,0.1
41,-3,0,-0.28,0,4,0,-0.165
42,3,0,3.7,0,-2,0.022,-0.196
43,2,0,0.71,0,-3,-0.037,0.066
44,-3,0,1.03,0,3,-0.022,-0.093
45,0,0,-1.63,0,1,0.003,-0.208
46,3,0,0.33,0,-3,0.025,0.035
47,-2,0,0.9,0,1,0.007,-0.028
48,-2,0,-0.81,0,3,-0.009,-0.148
49,3,0,-0.14,0,-3,-0.026,-0.003
50,0,0,1.47,0,-1,-0.017,0.012
51,-3,0,-0.91,0,3,-0.002,-0.151
52,2,0,-1.54,0,-2,-0.021,-0.137
53,1,0,1.41,0,-2,-0.006,0.047
54,-3,0,0.75,0,3,-0.009,-0.078
55,1,0,-0.77,0,-1,0.05,-0.133
56,2,0,0.68,0,-3,-0.001,-0.007
57,-2,0,6.99,0,2,0.02,-0.093
58,0,0,-0.37,0,1,0.007,-0.203
59,3,0,0.39,0,-3,-0.011,0.024
60,-2,0,0.88,0,1,0.012,-0.015
61,-1,0,-0.65,0,2,0.001,-0.181
62,3,0,-0.79,0,-3,0.004,-0.039
63,-1,0,0.8,0,0,0.003,0
64,-2,0,-0.01,0,3,-0.015,-0.146
65,2,0,-6.79,0,-2,0.001,-0.014
66,0,0,0.82,0,-1,-0.003,0.043
67,-3,0,-0.64,0,3,0.01,-0.123
68,2,0,-0.58,0,-2,0.028,-0.148
69,1,0,0.84,0,-2,0.032,0.015
70,-3,0,-0.84,0,3,-0.003,-0.077
71,2,0,-1.92,0,-1,0.001,-0.099
72,2,0,0.04,0,-2,0.002,0.054
73,-3,0,0.25,0,2,0.019,-0.009
74,1,0,-0.66,0,0,-0.006,-0.146
75,2,0,0.57,0,-3,0.022,0.01
76,-2,0,1.57,0,2,-0.008,-0.069
77,0,0,-1.07,0,1,-0.013,-0.152
78,3,0,-0.6,0,-3,-0.014,-0.004
79,-2,0,1.01,0,2,0.005,-0.007
80,-1,0,-1.34,0,2,-0.019,-0.133
81,3,0,0.16,0,-3,0.004,-0.038
82,-2,0,0.73,0,1,0.006,0.026
83,-2,0,-0.42,0,2,-0.02,-0.158
84,3,0,-0.88,0,-2,0.021,-0.105
85,-1,0,0.81,0,0,0.006,0.008
86,-2,0,-0.4,0,2,0.003,-0.185
87,2,0,-5.09,0,-2,-0.039,-0.024
88,0,0,1.01,0,0,-0.001,0.077
89,-2,0,-0.39,0,3,0.004,-0.139
90,2,0,-0.97,0,-2,0.008,-0.091
91,0,0,0.11,0,-1,0.019,0.048
92,-3,0,0.99,0,3,-0.01,-0.105
93,2,0,-0.64,0,-1,0.025,-0.179
94,1,0,0.62,0,-2,-0.001,0.008
95,-3,0,1.1,0,3,0.021,-0.142
96,2,0,-2.65,0,-1,0.016,-0.195
97,2,0,1.48,0,-3,-0.012,-0.013
98,-2,0,0.23,0,2,0.016,-0.081
99,0,0,4.2,0,1,0.021,-0.2
100,2,0,-0.09,0,-2,0.005,-0.075
101,0,0,2.02,0,0,-0.024,-0.054
102,0,0,-0.45,0,0,0.005,-0.193
103,244,148,-148.8,-104.67,2,0.021,-0.126
104,2924,2462,-682.3,-620.28,-2,0.013,-0.125
105,9241,8447,-1143.4,-1115.54,2,-0.087,-0.093
106,17191,16331,-1200.62,-1200,2,-0.038,-0.218
107,25191,24330,-1199.64,-1200,3,-0.049,-0.15
108,33190,32330,-1184.19,-1200,4,-0.106,-0.14
109,41189,40369,-1199.65,-1200,3,-0.125,-0.132
110,49188,48368,-1201.43,-1200,3,-0.125,-0.16
111,57189,56348,-1202.54,-1200,3,-0.075,-0.076
112,65188,64368,-1206.82,-1200,3,-0.088,-0.111
113,73188,72388,-1207.95,-1200,3,-0.085,-0.131
114,81189,80369,-1223.99,-1200,3,-0.061,-0.164
115,89188,88369,-1206.68,-1200,4,-0.062,-0.164
116,97188,96388,-1201.56,-1200,3,-0.03,-0.17
117,105188,104408,-1198.94,-1200,3,-0.075,-0.151
118,113187,112387,-1198.81,-1200,3,-0.066,-0.126
119,121187,120427,-1210.59,-1200,2,-0.078,-0.097
120,129187,128426,-1191.16,-1200,3,-0.051,-0.153
121,137187,136426,-1200.84,-1200,3,-0.083,-0.17
122,145186,144426,-1200.02,-1200,3,-0.017,-0.17
123,153186,152426,-1201.53,-1200,2,-0.025,-0.164
124,161186,160446,-1199.26,-1200,3,-0.051,-0.138
125,169186,168426,-1203.61,-1200,3,-0.075,-0.183
126,177186,176446,-1208.15,-1200,2,-0.07,-0.168
127,184606,184031,-932.46,-987.29,2,-0.06,-0.16
128,188996,188761,-362.26,-423.66,0,-0.023,-0.163
129,189995,189988,-96.32,-21.34,5,0.013,0.04
130,189645,189748,189.21,148.77,0,-0.013,0.163
131,186596,187020,731.1,690.43,2,0.032,0.126
132,179986,180664,1187.61,1147.97,-2,-0.031,0.136
133,172008,172709,1215.32,1200,-3,-0.038,0.144
134,164008,164710,1176.73,1200,-2,-0.062,0.07
135,156010,156691,1198.86,1200,-2,-0.034,0.198
136,148010,148691,1199.23,1200,-2,-0.023,0.058
137,140010,140692,1191.74,1200,-2,-0.019,0.137
138,132011,132692,1224.37,1200,-2,-0.069,0.108
139,124011,124692,1223.49,1200,-2,-0.024,0.129
140,116010,116692,1198.86,1200,-2,-0.011,0.16
141,108009,108671,1199.72,1200,-2,-0.008,0.095
142,100011,100672,1215.41,1200,-2,-0.042,0.128
143,92010,92672,1177.84,1200,-2,-0.014,0.073
144,84010,84712,1182.77,1200,-2,-0.021,0.165
145,76012,76653,1217.6,1200,-2,-0.026,0.181
146,68012,68653,1215.99,1200,-2,0.008,0.154
147,60012,60654,1199.5,1200,-2,0.009,0.146
148,52012,52654,1175.27,1200,-2,-0.017,0.2
149,44013,44634,1207.1,1200,-2,-0.041,0.148
150,36012,36654,1191.65,1200,-2,0.023,0.147
151,28012,28634,1199.9,1200,-2,-0.084,0.116
152,20013,20634,1215.98,1200,-2,-0.019,0.159
153,12012,12634,1199.41,1200,0,-0.042,0.128
154,4785,5237,897.41,932.15,-2,-0.018,0.165
155,780,949,332.79,360.39,-1,-0.002,0.156
156,0,2,-0.67,7.43,2,0.007,-0.108
157,493,381,-221.79,-196.01,-1,-0.016,-0.091
158,3906,3515,-790.91,-756.45,-1,-0.053,-0.118
159,10780,10208,-1165.12,-1171.94,-4,0.059,-0.145
160,18771,18171,-1198.29,-1200,-3,0.068,-0.198
161,26771,26170,-1181.61,-1200,-3,0.028,-0.179
162,34770,34189,-1189.86,-1200,-3,0.097,-0.225
163,42770,42209,-1198.91,-1200,-3,0.082,-0.194
164,50769,50208,-1199.34,-1200,-3,0.036,-0.199
165,58769,58208,-1197.62,-1200,-3,0.015,-0.114
166,66769,66208,-1196.5,-1200,-3,0.042,-0.1
167,74770,74229,-1190.36,-1200,-5,0.052,-0.187
168,82770,82209,-1198.54,-1200,-3,0.072,-0.179
169,90769,90228,-1198.87,-1200,-3,0.089,-0.197
170,98769,98228,-1199.17,-1200,-3,0.04,-0.156
171,106769,106228,-1176.03,-1200,-2,0.056,-0.118
172,114768,114247,-1199.22,-1200,-3,0.084,-0.161
173,122768,122227,-1199.86,-1200,-3,0.034,-0.176
174,130767,130246,-1181.34,-1200,-4,0.066,-0.106
175,138767,138226,-1199.2,-1200,-3,0.077,-0.209
176,146767,146246,-1199.05,-1200,-3,0.046,-0.128
177,154767,154266,-1181.71,-1200,-3,0.082,-0.15
178,162767,162266,-1199.3,-1200,-3,0.056,-0.118
179,170767,170266,-1198.26,-1200,-3,0.132,-0.2
180,178765,178286,-1174.24,-1197.19,-3,0.055,-0.293
181,185780,185422,-825.33,-875.29,1,0.019,-0.188
182,189411,189299,-262.95,-298.85,0,0.046,-0.076
183,189994,190000,22.99,-0.55,-6,0.061,-0.158
184,189370,189475,253.14,241.11,0,-0.013,0.072
185,185654,186000,848.24,809.28,1,-0.029,0.127
186,178586,179064,1174.74,1186.24,3,0.05,0.148
187,170589,171049,1195.77,1200,3,0.066,0.114
188,162589,163050,1198.17,1200,3,-0.001,0.211
189,154590,155051,1190.92,1200,4,0.061,0.134
190,146591,147051,1198.02,1200,4,0.031,0.132
191,138591,139052,1177.2,1200,4,0.053,0.175
192,130591,131052,1199.3,1200,4,0.013,0.088
193,122591,123032,1196.53,1200,3,0.018,0.169
194,114590,115051,1199.33,1200,4,0.039,0.165
195,106590,107011,1199.09,1200,4,0.068,0.154
196,98592,99012,1198.5,1200,3,0.039,0.183
197,90592,91052,1198.43,1200,4,0.056,0.166
198,82591,83012,1196.48,1200,3,0.087,0.105
199,74592,74993,1198.78,1200,3,0.047,0.194
200,66593,66993,1198.88,1200,3,0.094,0.154
201,58593,58994,1196.61,1200,4,0.031,0.112
202,50593,50994,1198.91,1200,3,0.12,0.303
203,42593,42994,1198.74,1200,4,-0.002,0.097
