Status,40080111
Voltage,-0.04 (-0.82)
Supply,24.2V / 0.2A/44.3C / 3.8W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,5,0,38.46,0,5,-0.001,0.184
1,2,0,-15.2,0,3,0.007,-0.093
2,-6,0,-42.7,0,-4,-0.039,-0.281
3,4,0,61.69,0,0,0.005,0.324
4,5,0,18.55,0,5,-0.004,0.199
5,3,0,-15.11,0,4,-0.035,-0.065
6,2,0,-15.96,0,3,-0.006,-0.125
7,-4,0,-37.87,0,-2,-0.005,-0.353
8,-3,0,7.22,0,-5,-0.015,-0.194
9,1,0,49.53,0,5,-0.006,0.291
10,2,0,-14.02,0,1,-0.03,-0.25
11,-7,0,-46.83,0,-1,-0.021,-0.305
12,-4,0,12.56,0,-6,-0.012,-0.2
13,-1,0,12.76,0,-4,0.013,-0.092
14,5,0,62.51,0,-1,-0.035,0.215
15,7,0,-3.01,0,3,-0.007,0.24
16,-4,0,-59.51,0,5,-0.006,-0.117
17,-7,0,-40.09,0,-2,-0.001,-0.375
18,-3,0,23.34,0,-6,-0.016,-0.175
19,5,0,48.59,0,-4,-0.006,0.197
20,2,0,-6.81,0,4,0.028,0.319
21,1,0,-15.16,0,5,-0.004,0.212
22,-1,0,-27.25,0,3,-0.043,0.018
23,-4,0,-34.57,0,2,0.035,-0.282
24,-3,0,18.5,0,-5,0.052,-0.269
25,5,0,27.36,0,-7,0.01,-0.056
26,5,0,-1.64,0,0,0.01,0.29
27,3,0,-14.12,0,2,0.014,0.28
28,-4,0,-70.16,0,4,0.009,0.048
29,-4,0,10.87,0,0,0.017,-0.448
30,1,0,44.53,0,-6,-0.033,-0.189
31,7,0,15.56,0,-4,-0.021,0.229
32,-3,0,-72.37,0,5,0.019,0.166
33,-3,0,6.2,0,2,-0.054,-0.263
34,5,0,50.02,0,-3,-0.011,-0.119
35,2,0,-7.69,0,0,0.017,0.289
36,-5,0,2.76,0,5,-0.039,-0.093
37,-3,0,4.79,0,2,-0.001,-0.305
38,4,0,23.26,0,-5,-0.006,-0.149
39,5,0,16.06,0,-4,-0.017,-0.144
40,-1,0,-20.06,0,1,-0.024,0.281
41,-6,0,-43.31,0,5,-0.005,0.105
42,1,0,17.98,0,1,0.014,-0.309
43,3,0,-13.48,0,-3,-0.041,0.122
44,2,0,-30.69,0,-3,-0.06,0.367
45,-4,0,-56.36,0,4,0.005,0.182
46,-1,0,14.2,0,3,-0.049,-0.092
47,5,0,32.69,0,-4,0.03,-0.203
48,-2,0,-59.14,0,0,-0.027,0.331
49,-4,0,-19.53,0,3,0.005,0.27
50,2,0,40.29,0,1,0.005,-0.221
51,3,0,-9.17,0,-6,-0.001,-0.115
52,-4,0,-34.26,0,0,0.02,0.273
53,0,0,19.56,0,3,0.018,-0.015
54,7,0,39.43,0,-2,0.005,-0.357
55,5,0,-18.67,0,-6,0.02,-0.049
56,-6,0,6.85,0,6,0.003,0.113
57,4,0,61.95,0,3,-0.007,-0.159
58,0,0,-16.61,0,-6,-0.002,-0.064
59,-5,0,6.02,0,5,-0.017,0.253
60,6,0,52.28,0,1,0.009,-0.3
61,-2,0,-25.53,0,-4,-0.022,-0.115
62,-3,0,16.22,0,4,-0.004,0.287
63,5,0,60.07,0,1,-0.02,-0.189
64,2,0,-15.44,0,-4,-0.064,-0.194
65,-6,0,-14.35,0,-1,0.007,0.252
66,5,0,65.8,0,5,0.006,-0.078
67,5,0,-13.79,0,0,-0.008,-0.317
68,-4,0,-36.7,0,-5,-0.005,-0.014
69,-3,0,14.97,0,-1,0.001,0.31
70,3,0,-6.57,0,1,-0.006,-0.407
71,-1,0,-46.27,0,-7,-0.007,-0.108
72,-4,0,7.19,0,-1,0.016,0.266
