Status,40080111
Voltage,-0.19 (-3.00)
Supply,24.1V / 0.2A/43.2C / 4.5W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,12,0,-3.41,0,-12,-0.001,-0.414
1,1,0,11.08,0,-3,-0.032,0.061
2,-10,0,-1.05,0,11,-0.027,-0.775
3,12,0,-2.6,0,-12,0.016,-0.346
4,-1,0,3.79,0,-1,0.003,0.121
5,-10,0,-0.5,0,10,0.049,-0.824
6,12,0,-2.05,0,-12,0,-0.235
7,-3,0,3.9,0,1,0.009,0.084
8,-9,0,-1.66,0,10,0.039,-0.853
9,12,0,-1.16,0,-12,-0.005,-0.18
10,-5,0,11.72,0,3,-0.007,0.101
11,-9,0,-0.18,0,10,0.018,-0.814
12,12,0,-0.41,0,-12,-0.022,-0.129
13,-9,0,6.76,0,4,-0.039,0.064
14,-9,0,-1.79,0,9,0.034,-0.873
15,12,0,-1.13,0,-12,-0.001,-0.115
16,-10,0,6.11,0,5,0.004,0.058
17,-8,0,-2.01,0,9,-0.005,-0.843
18,13,0,-1.17,0,-13,0.024,-0.155
19,-8,0,4.78,0,7,0.034,-0.032
20,236,209,-171.4,-132.37,8,0.025,-1.059
21,2953,2764,-684.36,-662.17,-8,0.016,-0.391
22,9278,9011,-1140.78,-1137.09,1,-0.064,-0.151
23,17230,16931,-1201.28,-1200,2,-0.013,-0.169
24,25229,24950,-1200.33,-1200,2,-0.034,-0.113
25,33227,32949,-1208.9,-1200,2,-0.064,-0.072
26,41227,40949,-1203.71,-1200,2,0.012,-0.183
27,49226,48948,-1224.3,-1200,2,-0.052,-0.156
28,57227,56968,-1201.96,-1200,2,-0.097,-0.137
29,65228,64968,-1183.77,-1200,2,-0.068,-0.127
30,73227,72968,-1201.53,-1200,2,-0.042,-0.152
31,81227,80969,-1224.4,-1200,2,-0.06,-0.154
32,89227,88969,-1201.21,-1200,3,-0.036,-0.192
33,97227,96988,-1200.54,-1200,2,-0.049,-0.101
34,105227,104988,-1201.01,-1200,2,-0.016,-0.133
35,113226,112987,-1200.7,-1200,2,-0.056,-0.158
36,121226,120987,-1200.73,-1200,1,-0.068,-0.069
37,129225,128986,-1218.75,-1200,1,-0.039,-0.091
38,137224,137006,-1224.34,-1200,2,-0.046,-0.127
39,145225,144986,-1208.6,-1200,1,-0.028,-0.159
40,153225,153006,-1200.77,-1200,2,-0.06,-0.121
41,161225,161006,-1200.97,-1200,2,-0.026,-0.14
42,169225,169026,-1202.09,-1200,1,-0.061,-0.155
43,177225,177026,-1203.36,-1200,2,-0.016,-0.205
44,184638,184466,-940.17,-955.5,0,-0.041,-0.162
45,189009,188947,-383.99,-383.98,-1,0.012,-0.136
46,189990,189995,-84.8,-11.66,-4,0.01,0.161
47,189637,189667,213.45,179.67,0,-0.002,0.169
48,186561,186673,755.94,733.16,0,-0.035,0.122
49,179927,180104,1187.47,1164.23,2,0.01,0.142
50,171947,172149,1190.22,1200,2,0.022,0.072
51,163948,164130,1203.22,1200,2,0.055,0.166
52,155949,156131,1200.24,1200,1,0.04,0.122
53,147949,148111,1200.64,1200,2,0.092,0.162
54,139950,140132,1200.3,1200,1,0.043,0.153
55,131950,132112,1209.14,1200,2,0.013,0.167
56,123950,124092,1200.28,1200,2,0.001,0.125
57,115949,116092,1200.15,1200,3,0.056,0.194
58,107948,108091,1200.57,1200,2,0.001,0.117
59,99950,100092,1208.97,1200,2,0.016,0.202
60,91950,92092,1199.82,1200,2,0.018,0.208
61,83950,84092,1199.58,1200,2,0.025,0.16
62,75951,76073,1199.39,1200,2,0.047,0.181
63,67951,68093,1209.13,1200,2,0.035,0.137
64,59951,60074,1201.09,1200,2,0.016,0.081
65,51952,52074,1223.59,1200,2,0.028,0.164
66,43951,44054,1183.37,1200,2,0.045,0.126
67,35951,36054,1200.22,1200,2,0.029,0.102
68,27952,28034,1199.7,1200,2,0.063,0.158
69,19952,20054,1200.46,1200,3,0.051,0.181
70,11952,12034,1199.26,1199.02,3,0.089,0.195
71,4739,4813,896.18,896.39,-1,-0.021,0.18
72,767,782,332.07,319.85,-6,-0.006,0.152
73,-8,0,10.02,1.93,9,0.015,-0.474
74,498,493,-210.93,-230.38,7,-0.032,-0.803
75,3946,3906,-815.31,-799.41,-1,-0.008,-0.161
76,10840,10758,-1174.22,-1183.22,-2,0.102,-0.14
77,18832,18751,-1192.38,-1200,-1,0.032,-0.201
78,26832,26790,-1197.97,-1200,-2,0.055,-0.148
79,34831,34769,-1177.58,-1200,-2,0.069,-0.171
80,42831,42789,-1198.22,-1200,-2,0.06,-0.219
81,50830,50788,-1199.18,-1200,-2,0.036,-0.076
82,58830,58788,-1199.73,-1200,-2,0.062,-0.265
83,66830,66788,-1183.99,-1200,-2,0.037,-0.179
84,74830,74809,-1223.67,-1200,-2,0.021,-0.14
85,82831,82809,-1198.66,-1200,-2,0.051,-0.135
86,90830,90788,-1199.6,-1200,-3,0.006,-0.098
87,98831,98828,-1183.05,-1200,-2,0.052,-0.157
88,106830,106828,-1199.93,-1200,-2,0.053,-0.166
89,114829,114807,-1200.1,-1200,-2,0.043,-0.133
90,122829,122827,-1200.69,-1200,-2,0.01,-0.122
91,130828,130826,-1191.31,-1200,-2,0.012,-0.131
92,138828,138826,-1199.86,-1200,-2,0.051,-0.234
93,146828,146826,-1192.06,-1200,-2,0.082,-0.224
