Status,40080111
Voltage,-0.16 (0.13)
Supply,24.2V / 0.2A/42.1C / 3.6W
DI,0
DO,0
Index,EncPos,TargetPos,ActVel,TargetVel,ActErr,ActCurD,ActCurQ
0,0,0,-1.5,0,2,-0.014,-0.09
1,3,0,0.69,0,-4,-0.004,0.029
2,-3,0,1.05,0,2,0.039,0.039
3,-2,0,0.18,0,3,0.005,-0.097
4,4,0,-1.24,0,-3,0.007,0.027
5,-2,0,2.28,0,0,-0.007,0.005
6,-3,0,-0.36,0,3,0.026,-0.117
7,3,0,-0.64,0,-2,-0.002,-0.049
8,0,0,1.98,0,-2,-0.009,0.131
9,-3,0,-0.66,0,3,-0.012,-0.062
10,3,0,-0.48,0,-1,-0.01,-0.055
11,2,0,1.02,0,-3,-0.009,0.133
12,-3,0,-1.02,0,3,-0.037,-0.085
13,0,0,-1.2,0,1,-0.013,-0.179
14,3,0,-0.07,0,-4,-0.011,0.022
15,-3,0,1.25,0,2,0.009,0.055
16,-2,0,-0.45,0,3,0.002,-0.096
17,4,0,-1.17,0,-3,0.008,0.018
18,-1,0,1.63,0,0,-0.011,0.098
19,-3,0,-0.01,0,3,-0.006,-0.129
20,3,0,-0.45,0,-2,-0.015,-0.033
21,1,0,0.48,0,-2,0.01,0.087
22,-3,0,-0.94,0,3,-0.031,-0.099
23,2,0,-1.26,0,0,-0.013,-0.076
24,2,0,1.19,0,-3,-0.004,0.074
25,-3,0,0.03,0,3,-0.003,-0.003
26,0,0,-0.74,0,1,-0.002,-0.151
27,3,0,0.19,0,-4,0.007,0.042
28,-3,0,0.05,0,2,-0.012,0.095
29,-1,0,-0.77,0,2,-0.032,-0.103
30,3,0,-7.12,0,-3,0.017,0.055
31,-2,0,0.36,0,1,-0.005,0.025
32,-3,0,-0.7,0,3,-0.018,-0.132
33,3,0,-0.51,0,-3,0.03,-0.055
34,0,0,9.18,0,-1,0.031,0.101
35,-3,0,-1.14,0,3,0.003,-0.127
36,3,0,-1.67,0,-2,-0.006,-0.048
37,1,0,1.28,0,-2,0.026,0.088
38,-3,0,0.01,0,3,-0.002,-0.058
39,2,0,-1.21,0,0,0.008,-0.077
40,2,0,0.32,0,-3,-0.005,0.085
41,-3,0,0.9,0,3,-0.022,-0.066
42,0,0,-1.05,0,1,-0.003,-0.155
43,3,0,0,0,-4,0.017,0.049
44,-3,0,0.99,0,3,-0.01,0.019
45,-1,0,-0.48,0,2,-0.014,-0.154
46,4,0,-0.1,0,-4,-0.002,0.035
47,-3,0,1.05,0,1,0.019,0.054
48,-3,0,-0.68,0,3,0,-0.141
49,4,0,-0.11,0,-3,-0.02,-0.061
50,0,0,1.5,0,-1,-0.006,0.129
51,-3,0,-0.21,0,3,0.008,-0.118
52,3,0,-1.1,0,-2,0.007,-0.048
53,0,0,3.71,0,-2,-0.017,0.096
54,-3,0,-0.79,0,3,0.007,-0.094
55,2,0,-0.95,0,-1,-0.004,-0.144
56,2,0,1.6,0,-3,-0.002,0.071
57,-3,0,-0.21,0,3,0.01,-0.095
58,1,0,-1.31,0,1,-0.019,-0.09
59,3,0,1.63,0,-4,-0.018,0.062
60,-3,0,-0.47,0,3,-0.001,0.017
61,-1,0,5.02,0,3,0.018,-0.147
62,4,0,0.19,0,-4,0.009,0.085
