,Positive Current M1(mA),Negative Current M1(mA),Positive Current M2(mA),Negative Current M2(mA),Positive Current M3(mA),Negative Current M3(mA),Positive Current M4(mA),Negative Current M4(mA),Positive Current M5(mA),Negative Current M5(mA),Positive Current M6(mA),Negative Current M6(mA),Positive Current M7(mA),Negative Current M7(mA),Positive Current M8(mA),Negative Current M8(mA),Positive Current M9(mA),Negative Current M9(mA),Positive Current M10(mA),Negative Current M10(mA),Positive Current M11(mA),Negative Current M11(mA),Positive Current M12(mA),Negative Current M12(mA),Positive Current M13(mA),Negative Current M13(mA)
71249.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71249.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71249.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71249.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71249.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71249.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71249.375,324.0,0.0,302.0,0.0,292.0,0.0,273.0,0.0,296.0,0.0,279.0,0.0,281.0,0.0,303.0,0.0,269.0,0.0,267.0,0.0,275.0,0.0,312.0,0.0,251.0,0.0
94999.5,0.0,-340.0,0.0,-323.0,0.0,-298.0,0.0,-277.0,0.0,-292.0,0.0,-216.0,0.0,-288.0,0.0,-289.0,0.0,-245.0,0.0,-240.0,0.0,-281.0,0.0,-302.0,0.0,-258.0
94999.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94999.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
